code	broader	label	alt	scope_note	related	facets	notation	when
past		Human Past	history	The human past and how it is known: prehistory, history by period, by region and by theme, archaeology and the methods of history.	society|belief|thought
history-of-south-eastern-asia	history-of-asia	History of South-eastern Asia		History of mainland and maritime Southeast Asia.		space/m49-035
history-of-southern-asia	history-of-asia	History of Southern Asia		History of the Indian subcontinent, Iran and neighbouring lands (M49: Southern Asia).		space/m49-034
history-of-western-asia	history-of-asia	History of Western Asia		History of the region from Anatolia and the Caucasus to Arabia and Mesopotamia.		space/m49-145
history-of-europe	history-by-region	History of Europe		The history of the European continent and its peoples.		space/m49-150
history-of-eastern-europe	history-of-europe	History of Eastern Europe		History of the eastern part of Europe (M49: Eastern Europe).		space/m49-151
history-of-northern-europe	history-of-europe	History of Northern Europe		History of the northern part of Europe (M49: Northern Europe).		space/m49-154
history-of-southern-europe	history-of-europe	History of Southern Europe		History of the southern part of Europe (M49: Southern Europe).		space/m49-039
history-of-western-europe	history-of-europe	History of Western Europe		History of the western part of Europe (M49: Western Europe).		space/m49-155
history-of-oceania	history-by-region	History of Oceania		The history of Australia, New Zealand and the Pacific Islands.		space/m49-009
history-of-australia-and-new-zealand	history-of-oceania	History of Australia and New Zealand		History of Australia and Aotearoa New Zealand, including the tens of thousands of years of Aboriginal and Torres Strait Islander history and the history of Māori.		space/m49-053
history-of-melanesia	history-of-oceania	History of Melanesia		History of New Guinea and the islands of Melanesia.		space/m49-054
history-of-micronesia	history-of-oceania	History of Micronesia		History of the islands of Micronesia.		space/m49-057
history-of-polynesia	history-of-oceania	History of Polynesia		History of the islands of Polynesia.		space/m49-061
history-of-antarctica	history-by-region	History of Antarctica		The history of Antarctica: its sighting, exploration, science and governance.		space/m49-010
history-of-the-oceans	history-by-region	Maritime and oceanic history	maritime history	The history of the seas and oceans and of the people who crossed, fished and traded on them.	trade-networks|water-transport
thematic-history	past	History by theme		History of particular aspects of human life across regions and periods.
economic-history	thematic-history	Economic history		The history of economies, work, money and trade.	economics
social-history	thematic-history	Social history		The history of everyday life, families, communities and social groups.	sociology
political-history	thematic-history	Political history		The history of states, governments and political movements.	politics
military-history	thematic-history	Military history		The history of war and armed forces.	conflict-and-peace
environmental-history	thematic-history	Environmental history		The history of the relationship between people and the rest of nature.	climate-change
history-of-science-and-technology	thematic-history	History of science and technology		How knowledge of nature and the tools of making developed in every civilization.	science|technology
intellectual-history	thematic-history	Intellectual history	history of ideas	The history of ideas and of the people who held them.	philosophy
womens-and-gender-history	thematic-history	Women's and gender history		The history of women and of gender relations.	gender
history-of-religions	thematic-history	History of religions		How religious traditions arose, spread and changed.	religious-traditions
global-and-connected-history	thematic-history	Global and connected history	world history	History across boundaries: exchanges, networks and processes that linked regions.
trade-networks	global-and-connected-history	Trade networks	Silk Roads|Indian Ocean trade	Long-distance networks of exchange, such as the Silk Roads, the Indian Ocean routes, the trans-Saharan routes and the Atlantic system.	trade
empires	global-and-connected-history	Empires	imperialism	Empires across the world and across time — among them the Achaemenid, Roman, Han, Maurya, Abbasid, Mali, Mongol, Ottoman, Inca, Mughal, Qing and British empires — compared as a form of rule.
colonialism-and-decolonization	global-and-connected-history	Colonialism and decolonization	colonialism|decolonization	Colonial rule and settlement, resistance to it, and the independence of colonized peoples.	indigenous-peoples
slavery-and-forced-labour	global-and-connected-history	Slavery and forced labour	slavery	Slavery and other forms of unfree labour across history, including the ancient, trans-Saharan, Indian Ocean and transatlantic slave trades.	human-rights
revolutions-and-independence	global-and-connected-history	Revolutions and independence movements	revolutions	Revolutions and movements for independence and self-rule.	social-movements
archaeology	past	Archaeology		The study of the human past through material remains.	prehistory
archaeological-methods	archaeology	Archaeological methods	radiocarbon dating|excavation	Survey, excavation and scientific dating and analysis of remains.	geochronology
cultural-heritage	archaeology	Cultural heritage	heritage	Sites, objects and practices valued as heritage, their protection, and debates over ownership and return.	museums
historiography	past	Historiography and historical method	historiography	How history is researched and written, and the history of that writing.
historical-method	historiography	Historical method	source criticism	Finding, criticizing and interpreting sources.	archives
oral-history	historiography	Oral history		History gathered from spoken memories and testimony.	oral-tradition
chronology	historiography	Chronology and dating		Ordering events in time and reconciling calendars and eras.	calendars-and-timekeeping|geochronology
collective-memory	historiography	Collective memory and commemoration	public memory|memorials	How communities remember and commemorate the past, and conflicts over memory.	memory
biography	historiography|literature	Biography and life writing		Accounts of individual lives.	essays-and-nonfiction
genealogy	historiography	Genealogy and family history		Tracing descent and family history.	family-and-kinship
auxiliary-sciences-of-history	past	Auxiliary sciences of history		Specialized disciplines that date, read and authenticate historical sources.
numismatics	auxiliary-sciences-of-history	Numismatics	coins	The study of coins, currency and medals.	money-and-finance
epigraphy	auxiliary-sciences-of-history	Epigraphy	inscriptions	The study of inscriptions.	writing-systems
palaeography	auxiliary-sciences-of-history	Palaeography	old handwriting	The study of historical handwriting and manuscripts.	calligraphy
heraldry	auxiliary-sciences-of-history	Heraldry and vexillology	coats of arms|flags	Coats of arms, seals, flags and other emblems.
